City,Average Cost for Two,Has Table Booking,Has Online Delivery,Is Delivering Now,Price Range,Aggregate Rating,Votes,Aggregate Rating/Average Cost for Two,Longitude_Of_City,Latitude_Of_City
Faridabad,100,No,No,No,1,0.0,0,0.0,28.4089,77.3178
Faridabad,600,No,Yes,No,2,3.2,31,0.004125,28.4089,77.3178
Faridabad,400,No,No,No,1,3.4,70,0.01,28.4089,77.3178
Faridabad,450,No,No,No,1,3.3,67,0.005777777777777778,28.4089,77.3178
Faridabad,600,No,No,No,2,2.7,35,0.004142857142857143,28.4089,77.3178
Faridabad,500,No,Yes,No,2,3.4,22,0.014499999999999999,28.4089,77.3178
Faridabad,200,No,No,No,1,3.3,17,0.0020666666666666667,28.4089,77.3178
Faridabad,600,No,Yes,No,2,2.6,39,0.0,28.4089,77.3178
Faridabad,500,No,No,No,2,3.3,35,0.0,28.4089,77.3178
Faridabad,500,No,No,No,2,3.4,35,0.0,28.4089,77.3178
Faridabad,400,No,No,No,1,2.7,32,0.005333333333333334,28.4089,77.3178
Faridabad,950,No,No,No,2,2.6,14,0.0085,28.4089,77.3178
Faridabad,600,No,No,No,2,2.7,17,0.007333333333333333,28.4089,77.3178
Faridabad,300,No,No,No,1,3.4,35,0.0045000000000000005,28.4089,77.3178
Faridabad,1000,No,No,No,3,4.5,799,0.0068,28.4089,77.3178
Faridabad,400,No,Yes,No,1,3.6,62,0.0165,28.4089,77.3178
Faridabad,300,No,Yes,No,1,3.5,24,0.004333333333333333,28.4089,77.3178
Faridabad,900,Yes,No,No,2,3.8,134,0.0066,28.4089,77.3178
Faridabad,400,No,No,No,1,3.5,26,0.0068,28.4089,77.3178
Faridabad,400,No,No,No,1,3.6,93,0.006750000000000001,28.4089,77.3178
Faridabad,650,No,No,No,2,3.7,280,0.002736842105263158,28.4089,77.3178
Faridabad,400,No,No,No,1,3.6,70,0.0045000000000000005,28.4089,77.3178
Faridabad,350,No,No,No,1,3.5,31,0.011333333333333332,28.4089,77.3178
Faridabad,250,No,No,No,1,3.6,25,0.0045,28.4089,77.3178
Faridabad,150,No,No,No,1,3.5,18,0.009000000000000001,28.4089,77.3178
Faridabad,400,No,No,No,1,3.6,27,0.011666666666666667,28.4089,77.3178
